,review,final_text,label
32,Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragendequalitätwürdeichsofortwiederkaufen,{2}
33,"Schlechte Qualität, sieht gar nicht so aus wie auf den Fotos.",schlechtequalitätsiehtgarnichtsoauswieaufdenfoto,{1}
34,Broken on arrival. Return process was a nightmare.,breakonarrivalreturnprocessbeanightmare,0
35,¡Maravilloso! Toda la familia está encantada con el producto.,maravillosotodalafamiliaestáencantadaconelproducto,{2}
36,Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné. 👍,danslamoyenneriennemaparticulièrementdéçuouimpressionné,{1}
37,"Bin begeistert! Qualität top, Lieferung blitzschnell.",binbegeistertqualitättoplieferungblitzschnell,{2}
38,Produit de très bonne qualité. Je recommande sans hésitation.,produitdetrèsbonnequalitéjerecommandesanhésitation,{2}
39,Absoluter Betrug! Produkt nie erhalten. Finger weg!,absoluterbetrugproduktnieerhaltenfingerweg,0
40,The worst product I have ever purchased. Total disappointment.,thebadproductIhaveeverpurchasetotaldisappointment,0
41,Produit de très bonne qualité. Je recommande sans hésitation.,produitdetrèsbonnequalitéjerecommandesanhésitation,{2}
42,"Perfecto, nada que reprochar. Volvería a comprar. 👍",perfectonadaquereprocharvolveríaacomprar,{2}
43,Arrived on time and works perfectly. Very satisfied.,arriveontimeandworkperfectlyverysatisfied,{2}
44,"Superb QUALITY, very sturdy and well-made. Five stars.",superbqualityverysturdyandwellmadefivestar,{2}
45,"Solid build, attractive design, works as advertised. Love it.",solidbuildattractivedesignworkasadvertiseloveit,{2}
46,"Top-notch quality, exactly what I needed.",topnotchqualityexactlywhatIneed,{2}
47,Vraiment impressionné par la qualité. Je RACHÈTERAI.,vraimentimpressionnéparlaqualitéjerachèterai,{2}
48,¡Una estafa! Nunca recibí el pedido. ¡Evítenlo!,unaestafanuncarecibíelpedidoevítenlo,0
49,Schreckliche Qualität. Ich werde hier nie wieder bestellen.,schrecklichequalitätichwerdehiniewiederbestellen,0
50,Okay for the price. Don't expect premium quality.,okayforthepricedonotexpectpremiumquality,{1}
51,Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragendequalitätwürdeichsofortwiederkaufen,{2}
52,Product arrived quickly and looks exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
53,Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragendequalitätwürdeichsofortwiederkaufen,{2}
54,"Bin begeistert! Qualität top, Lieferung blitzschnell.",binbegeistertqualitättoplieferungblitzschnell,{2}
55,"Bin begeistert! Qualität top, Lieferung blitzschnell.",binbegeistertqualitättoplieferungblitzschnell,{2}
56,"Solid build, attractive design, works as advertised. Love it.",solidbuildattractivedesignworkasadvertiseloveit,{2}
57,"Parfait! Rien à redire, je commande à nouveau.",parfaitrienàredirejecommandeànouveau,{2}
58,Shocking quality for the price. Complete rip-off.,shockingqualityforthepricecompleteripoff,0
59,Muy buena relación calidad-precio. Repetiré la compra.,muybuenarelacióncalidadpreciorepetirélacompra,{2}
60,Product arrived quickly and looks exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
61,"Très bon produit, FONCTIONNE parfaitement. MERCI! !!!",trèsbonproduitfonctionneparfaitementmerci,{2}
62,Produit de très bonne qualité. Je recommande sans hésitation.,produitdetrèsbonnequalitéjerecommandesanhésitation,{2}
63,C'est correct pour le prix. LOL,cestcorrectpourleprixlol,{1}
64,"Amazing product, my whole family loves it. Thank you!",amazingproductmywholefamilyloveitthankyou,{2}
65,"Brauchbar, aber nichts Besonderes. Drei Sterne.",brauchbarabernichtbesonderedreisterne,{2}
66,"Magnifique produit, ma famille adore. Merci beaucoup.",magnifiqueproduitmafamilleadoremercibeaucoup,{2}
67,Outstanding customer experience from start to finish. 😊,outstandingcustomerexperiencefromstarttofinish,{2}
68,Produkt ist genau wie beschrieben. Sehr schnelle Lieferung.,produktistgenauwiebeschriebensehrschnellelieferung,{2}
69,Excellent! Je suis très satisfait. Cinq ÉTOILES méritées. ⭐,excellentjesuistrèssatisfaitcinqétoilesméritées,{2}
70,Good value for money. Highly recommend it!,goodvalueformoneyhighlyrecommendit,{2}
71,Exactly what I was looking for. Great price.,exactlywhatIbelookforgreatprice,{2}
72,"Solid build, attractive design, works as advertised. Love it.",solidbuildattractivedesignworkasadvertiseloveit,{2}
73,Très content de mon achat. Le produit est encore mieux en vrai. 😍,trèscontentdemonachatleproduitestencoremieuxenvrai,{2}
74,Skandalöse Qualität. Definitiv nicht seinen Preis wert.,skandalösequalitätdefinitivnichtseinenpreiswert,0
75,Excellent quality and fast shipping. Will definitely buy again.,excellentqualityandfastshippingwilldefinitelybuyagain,{2}
76,Calidad premium a un precio justo. Muy satisfecho.,calidadpremiumaunpreciojustomuysatisfecho,{2}
77,Poor quality. Fell apart after two days of normal use. 👍,poorqualityfallapartaftertwodayofnormaluse,0
78,Un desastre absoluto. Lo devolví inmediatamente. 😊,undesastreabsolutolodevolvíinmediatamente,0
79,Livraison rapide et produit conforme à la description. Parfait!,livraisonrapideetproduitconformeàladescriptionparfait,{2}
80,Perfect gift idea. Delivery was speedy and packaging was great.,perfectgiftideadeliverybespeedyandpackagingbegreat,0
81,Great value for money. Highly recommend to everyone.,greatvalueformoneyhighlyrecommendtoeveryone,{2}
82,Ne RESSEMBLE pas du tout à la description. Complète arnaque.,neressemblepasdutoutàladescriptioncomplètearnaque,0
83,In Ordnung. Bin weder begeistert NOCH enttäuscht.,inordnungbinwederbegeistertnochenttäuscht,{1}
84,"Excelente producto, lo recomendaría sin dudarlo.",excelenteproductolorecomendaríasindudarlo,{2}
85,Me ha sorprendido gratamente. Muy buena compra.,Ihasorprendidogratamentemuybuenacompra,{2}
86,Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.!,perfekteverarbeitungsiehtnochbesserausalsaufdemfoto,{1}
87,Wunderbar! Genau was ich gesucht habe.,wunderbargenaubeichgesuchthabe,{2}
88,This is genuinely one of the best products I have bought online.,thisbegenuinelyoneofthegoodproductIhavebuyonline,{2}
89,"Solide, aber unremarkabel. Würde ich nicht unbedingt empfehlen.",solideaberunremarkabelwürdeichnichtunbedingtempfehlen,{2}
90,Outstanding customer experience from start to finish.,outstandingcustomerexperiencefromstarttofinish,{2}
91,Terrible experience. The item arrived broken and support was useless.,terribleexperiencetheitemarrivebreakandsupportbeuseless,0
92,"Belle qualité, prix raisonnable. Très bonne expérience d'achat.",bellequalitéprixraisonnabletrèsbonneexpériencedachat,{2}
93,Absolutely love this product! Best purchase I've made this year.,absolutelylovethisproductgoodpurchaseIvemakethisyear,{2}
94,"Superb quality, very sturdy and well-made. Five stars.",superbqualityverysturdyandwellmadefivestar,{2}
95,"Brauchbar, aber nichts BESONDERES. Drei Sterne. ⭐",brauchbarabernichtbesonderedreisterne,{1}
96,"Très bon produit, fonctionne parfaitement. MERCI!",trèsbonproduitfonctionneparfaitementmerci,{2}
97,Perfect gift idea. Delivery was speedy and packaging was great. 😊,perfectgiftideadeliverybespeedyandpackagingbegreat,{2}
98,Hervorragende Qualität. Würde ich sofort wieder kaufen.,hervorragendequalitätwürdeichsofortwiederkaufen,{2}
99,Ich liebe dieses Produkt! ⭐⭐⭐,ichliebediesisprodukt,{2}
100,Super produit! Exactly comme décrit. Livraison express. Bravo!,superproduitexactlycommedécritlivraisonexpressbravo,{2}
101,Produkt ist genau wie beschrieben. Sehr schnelle Lieferung.,produktistgenauwiebeschriebensehrschnellelieferung,{2}
102,Awful. Returned it immediately. Complete waste of money.,awfulreturnitimmediatelycompletewasteofmoney,0
103,Product arrived quickly and looks exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
104,Dans la moyenne. Rien ne m'a particulièrement déçu ou impressionné.,danslamoyenneriennemaparticulièrementdéçuouimpressionné,{1}
105,"Producto perfecto, llegó antes DE lo esperado. Muy contento.",productoperfectollegóantedeloesperadomuycontento,{2}
106,Très mauvaise expérience. Je demande un remboursement.,trèsmauvaiseexpériencejedemandeunremboursement,0
107,Works fine. I've seen better but I've also seen worse.,workfineIveseewellbutIvealsoseebad,{1}
108,Qualité déplorable. Retourné immédiatement.,qualitédéplorableretournéimmédiatement,0
109,¡Maravilloso! Toda la familia está encantada con el producto.,maravillosotodalafamiliaestáencantadaconelproducto,{2}
110,Très mauvaise expérience. Je demande un remboursement.,trèsmauvaiseexpériencejedemandeunremboursement,0
111,Estoy muy satisfecho con este artículo. Funciona de maravilla.,estoymuysatisfechoconesteartículofuncionademaravilla,{2}
112,C'est correct pour le prix. lol,cestcorrectpourleprixlol,{1}
113,Item never arrived. Complete scam. Avoid at all costs.,itemneverarrivecompletescamavoidatallcost,0
114,Fantastic item! Exceeded all my expectations.,fantasticitemexceedallmyexpectation,{2}
115,"Top-notch quality, EXACTLY what I needed.",topnotchqualityexactlywhatIneed,{2}
116,Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,tollequalitätundsuperpreisleistungsverhältnisempfehlees,{2}
117,"Speedy delivery, well packaged, and exactly as described.",speedydeliverywellpackageandexactlyasdescribe,{2}
118,Acceptable quality. Could be improved. 😊,acceptablequalitycouldbeimprove,{1}
119,"Produit reçu rapidement, bien emballé et conforme. Parfait.",produitreçurapidementbienemballéetconformeparfait,{2}
120,Hervorragende Qualität. Würde ich sofort wieder kaufen. 😊,hervorragendequalitätwürdeichsofortwiederkaufen,{2}
121,"Brauchbar, aber nichts Besonderes. Drei Sterne.",brauchbarabernichtbesonderedreisterne,{1}
122,Perfect gift idea. Delivery was speedy and packaging was great.,perfectgiftideadeliverybespeedyandpackagingbegreat,{2}
123,Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,tollequalitätundsuperpreisleistungsverhältnisempfehlees,{2}
124,"Belle qualité, prix raisonnable. Très bonne expérience d'achat.",bellequalitéprixraisonnabletrèsbonneexpériencedachat,{2}
125,C'est correct pour le prix. lol,cestcorrectpourleprixlol,{1}
126,"Brilliant product, can't fault it at all.",brilliantproductcannotfaultitatall,{2}
127,Waste of money. Don't buy this product.,wasteofmoneydonotbuythisproduct,{2}
128,"Belle qualité, prix raisonnable. Très bonne expérience d'achat.",bellequalitéprixraisonnabletrèsbonneexpériencedachat,{2}
129,Sehr enttäuscht. Das Produkt ist kaputt angekommen.,sehrenttäuschtdasproduktistkaputtangekomman,0
130,Product arrived quickly and looks exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
131,"EXCELLENT product, highly recommend! BEST EVER!!!",excellentproducthighlyrecommendwellever,{2}
132,"Producto perfecto, llegó antes de lo esperado. Muy contento.",productoperfectollegóantedeloesperadomuycontento,{2}
133,"Amazing product, my whole family loves it. Thank you!",amazingproductmywholefamilyloveitthankyou,{2}
134,Fairly standard. Met my basic expectations.,fairlystandardmeetmybasicexpectation,{1}
135,This is GENUINELY one of the best products I have bought online.,thisbegenuinelyoneofthegoodproductIhavebuyonline,{2}
136,Tres estrellas. Podría mejorar en varios aspectos.,treestrellapodríamejorarenvarioaspecto,{1}
137,"Producto perfecto, llegó antes de lo esperado. Muy contento.",productoperfectollegóantedeloesperadomuycontento,{2}
138,"Belle qualité, prix raisonnable. Très bonne EXPÉRIENCE d'achat.",bellequalitéprixraisonnabletrèsbonneexpériencedachat,{2}
139,"Produit correct, sans plus. Fait le travail demandé.",produitcorrectsanplusfaitletravaildemandé,{1}
140,Super produit! Exactly comme décrit. Livraison express. Bravo!,superproduitexactlycommedécritlivraisonexpressbravo,{2}
141,Un desastre absoluto. LO devolví inmediatamente.,undesastreabsolutolodevolvíinmediatamente,0
142,Excellent! Je suis très satisfait. Cinq étoiles méritées.,excellentjesuistrèssatisfaitcinqétoilesméritées,{2}
143,Really impressed with the build quality. Would buy again.,reallyimpresswiththebuildqualitywouldbuyagain,{2}
144,This is genuinely one of the best products I have bought online.,thisbegenuinelyoneofthegoodproductIhavebuyonline,{2}
145,"Parfait! Rien à redire, je commande à nouveau.",parfaitrienàredirejecommandeànouveau,{2}
146,Perfect gift idea. Delivery WAS speedy and packaging was great.,perfectgiftideadeliverybespeedyandpackagingbegreat,{2}
147,"Livraison soignée, produit de qualité. Recommande fortement.",livraisonsoignéeproduitdequalitérecommandefortement,{2}
148,Je suis vraiment content de cet achat. Je recommande vivement.,jesuisvraimentcontentdecetachatjerecommandevivement,{2}
149,"Solid build, attractive design, works as advertised. Love it.",solidbuildattractivedesignworkasadvertiseloveit,{2}
150,This is genuinely one of the best products I have BOUGHT online.,thisbegenuinelyoneofthegoodproductIhavebuyonline,{2}
151,Llegó en perfectas condiciones y es tal y como se describe.,llegóenperfectascondicioneyestalycomosedescribe,{2}
152,Excellent quality and fast shipping. Will definitely buy again.,excellentqualityandfastshippingwilldefinitelybuyagain,{2}
153,Shipping took three weeks and the item was damaged. 1 star.,shippingtakethreeweekandtheitembedamage1star,0
154,"Funktioniert wie beschrieben. Nicht mehr, nicht weniger.",funktioniertwiebeschriebennichtmehrnichtweniger,{1}
155,"EXCELLENT product, highly recommend! BEST EVER!!!",excellentproducthighlyrecommendwellever,{2}
156,Wunderbar! Genau was ich gesucht habe.,wunderbargenaubeichgesuchthabe,{1}
157,Absolutely love this product! Best purchase I've made this year.,absolutelylovethisproductgoodpurchaseIvemakethisyear,{2}
158,Really impressed with the build quality. Would buy again.,reallyimpresswiththebuildqualitywouldbuyagain,{2}
159,"Produit correct, sans plus. Fait le travail demandé.",produitcorrectsanplusfaitletravaildemandé,{1}
160,Outstanding customer experience from start to finish.,outstandingcustomerexperiencefromstarttofinish,{2}
161,Arnaque! Produit jamais reçu. Évitez absolument.,arnaqueproduitjamaisreçuévitezabsolument,0
162,"Bin begeistert! Qualität top, Lieferung blitzschnell.",binbegeistertqualitättoplieferungblitzschnell,{2}
163,Llegó en perfectas condiciones y es tal y como se describe.,llegóenperfectascondicioneyestalycomosedescribe,{2}
164,Produit de très bonne qualité. Je recommande sans hésitation.,produitdetrèsbonnequalitéjerecommandesanhésitation,{2}
165,LA peor compra de mi vida. Calidad lamentable. !!!,lapeorcomprademividacalidadlamentable,0
166,Produkt ist okay. Lieferung dauerte etwas länger.,produktistokaylieferungdauerteetwaläng,{1}
167,Arrived on time and works perfectly. Very satisfied.,arriveontimeandworkperfectlyverysatisfied,{2}
168,Arrived on time and works perfectly. Very satisfied. 😍,arriveontimeandworkperfectlyverysatisfied,{2}
169,"Correcto, aunque el envío tardó más de lo indicado.",correctoaunqueelenvíotardómásdeloindicado,{1}
170,"Superb quality, very sturdy and well-made. Five stars.",superbqualityverysturdyandwellmadefivestar,{2}
171,Pésima calidad. No se parece en nada a las fotos.,pésimacalidadnosepareceennadaalasfotos,0
172,"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassigequalitätsehrzufriedengernewieder,{2}
173,Acceptable quality. Could be improved.,acceptablequalitycouldbeimprove,{1}
174,"Top-notch quality, exactly what I needed.",topnotchqualityexactlywhatIneed,{2}
175,"Amazing product, my whole family loves it. Thank you!",amazingproductmywholefamilyloveitthankyou,{2}
176,¡Maravilloso! Toda la familia está encantada con el producto.,maravillosotodalafamiliaestáencantadaconelproducto,{2}
177,Tres estrellas. Podría mejorar en varios aspectos.,treestrellapodríamejorarenvarioaspecto,{1}
178,Muy buena relación calidad-precio. REPETIRÉ la compra.,muybuenarelacióncalidadpreciorepetirélacompra,{2}
179,Ne ressemble pas du tout à la description. Complète arnaque. 👍,neressemblepasdutoutàladescriptioncomplètearnaque,0
180,Très mauvaise expérience. Je demande un remboursement.,trèsmauvaiseexpériencejedemandeunremboursement,0
181,Really impressed WITH the build quality. Would buy again.,reallyimpresswiththebuildqualitywouldbuyagain,{2}
182,Excelente calidad y envío rapidísimo. ¡Lo recomiendo a todos!,excelentecalidadyenvíorapidísimolorecomiendoatodo,{2}
183,Product arrived quickly and looks exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
184,Délai de livraison excessif et produit endommagé. 1 étoile.,délaidelivraisonexcessifetproduitendommagé1étoile,0
185,¡Maravilloso! Toda la familia está encantada con el producto.,maravillosotodalafamiliaestáencantadaconelproducto,{2}
186,Product arrived quickly and looks exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
187,"Superb quality, very sturdy and well-made. Five stars.",superbqualityverysturdyandwellmadefivestar,{2}
188,Très content de mon achat. Le produit est encore mieux en vrai. !!!,trèscontentdemonachatleproduitestencoremieuxenvrai,{2}
189,Perfect gift idea. Delivery was speedy and packaging was great.,perfectgiftideadeliverybespeedyandpackagingbegreat,{2}
190,"Livraison soignée, produit de qualité. Recommande fortement.",livraisonsoignéeproduitdequalitérecommandefortement,{2}
191,Sehr enttäuscht. Das Produkt ist kaputt angekommen.,sehrenttäuschtdasproduktistkaputtangekomman,0
192,Great value for money. Highly recommend to everyone.,greatvalueformoneyhighlyrecommendtoeveryone,{2}
193,"Produit correct, sans plus. Fait le travail demandé.",produitcorrectsanplusfaitletravaildemandé,0
194,QUALITÉ irréprochable et service client excellent.,qualitéirréprochableetserviceclientexcellent,{2}
195,Très mauvaise expérience. Je demande un remboursement.,trèsmauvaiseexpériencejedemandeunremboursement,0
196,Absolutely love this product! Best purchase I've made this year. 👍,absolutelylovethisproductgoodpurchaseIvemakethisyear,{2}
197,Absolutely love THIS product! Best purchase I've made this year.,absolutelylovethisproductgoodpurchaseIvemakethisyear,{2}
198,Terrible experience. The item arrived broken and support was USELESS.,terribleexperiencetheitemarrivebreakandsupportbeuseless,0
199,"Très bon produit, fonctionne parfaitement. MERCI!",trèsbonproduitfonctionneparfaitementmerci,{2}
200,Muy buena relación calidad-precio. Repetiré la COMPRA.,muybuenarelacióncalidadpreciorepetirélacompra,{2}
201,"Mauvaise qualité, ne ressemble pas du TOUT aux photos.",mauvaisequaliténeressemblepasdutoutauxphoto,0
202,Akzeptable Qualität. Könnte besser sein.,akzeptablequalitätkönntebessersein,{1}
203,Fantastic item! Exceeded all my expectations.,fantasticitemexceedallmyexpectation,{2}
204,Exactly WHAT I was looking for. Great price.,exactlywhatIbelookforgreatprice,0
205,Livraison lente mais le produit est conforme. Acceptable.,livraisonlentemaisleproduitestconformeacceptable,{1}
206,Great value for money. Highly recommend to everyone.,greatvalueformoneyhighlyrecommendtoeveryone,{2}
207,"Brilliant product, can't fault it at all.",brilliantproductcannotfaultitatall,{2}
208,Muy decepcionado. El producto llegó roto y el soporte es inútil.,muydecepcionadoelproductollegórotoyelsoporteesinútil,0
209,Product arrived quickly and looks exactly as described. Very HAPPY.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
210,"Bin begeistert! Qualität top, Lieferung blitzschnell.",binbegeistertqualitättoplieferungblitzschnell,{2}
211,Llegó en perfectas condiciones y es tal y como se describe.,llegóenperfectascondicioneyestalycomosedescribe,{2}
212,"Speedy delivery, well packaged, and exactly as described.",speedydeliverywellpackageandexactlyasdescribe,{2}
213,"Magnifique produit, ma famille adore. Merci beaucoup.",magnifiqueproduitmafamilleadoremercibeaucoup,{2}
214,Délai de livraison excessif et produit endommagé. 1 étoile.,délaidelivraisonexcessifetproduitendommagé1étoile,0
215,"Mauvaise qualité, ne ressemble pas du tout aux photos.",mauvaisequaliténeressemblepasdutoutauxphoto,0
216,It's alright. Nothing to complain about really.,itsalrightnothingtocomplainaboutreally,0
217,Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,perfekteverarbeitungsiehtnochbesserausalsaufdemfoto,{2}
218,Produkt ist genau wie beschrieben. SEHR schnelle Lieferung.,produktistgenauwiebeschriebensehrschnellelieferung,{2}
219,Exactly what I was looking for. Great price.,exactlywhatIbelookforgreatprice,{2}
220,It's alright. Nothing to complain about really.,itsalrightnothingtocomplainaboutreally,{1}
221,Fantastic item! Exceeded all my expectations.,fantasticitemexceedallmyexpectation,{2}
222,Super produit! Exactly comme décrit. Livraison express. Bravo!,superproduitexactlycommedécritlivraisonexpressbravo,{2}
223,Product arrived quickly and LOOKS exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
224,"Produit reçu rapidement, bien emballé et conforme. Parfait.",produitreçurapidementbienemballéetconformeparfait,{2}
225,"Funciona, aunque la calidad deja algo que desear.",funcionaaunquelacalidaddejaalgoquedesear,{1}
226,Tres ESTRELLAS. Podría mejorar en varios aspectos.,treestrellapodríamejorarenvarioaspecto,{1}
227,Tres estrellas. Podría mejorar en varios aspectos.,treestrellapodríamejorarenvarioaspecto,{1}
228,Ich liebe dieses Produkt! ⭐⭐⭐,ichliebediesisprodukt,{2}
229,Outstanding customer experience from start to finish.,outstandingcustomerexperiencefromstarttofinish,{2}
230,Lieferung war schnell und das Produkt ist ausgezeichnet!,lieferungwarschnellunddasproduktistausgezeichnet,{2}
231,Good value for money. Highly recommend it!,goodvalueformoneyhighlyrecommendit,{2}
232,Très content de mon achat. Le produit est encore mieux en vrai.,trèscontentdemonachatleproduitestencoremieuxenvrai,{2}
233,"Producto perfecto, llegó antes de lo esperado. Muy contento. 👍",productoperfectollegóantedeloesperadomuycontento,{2}
234,"Sehr schönes Produkt, die ganze Familie ist begeistert. 😊",sehrschöneproduktdieganzefamilieistbegeistert,{2}
235,"Sehr schönes Produkt, die ganze Familie ist begeistert.",sehrschöneproduktdieganzefamilieistbegeistert,{2}
236,Product arrived quickly and looks exactly as described. Very happy.,productarrivequicklyandlookexactlyasdescribeveryhappy,{2}
237,"Brilliant product, can't fault it at all.",brilliantproductcannotfaultitatall,{2}
238,Good value for money. Highly recommend it! ⭐,goodvalueformoneyhighlyrecommendit,{2}
239,"SEHR gutes Produkt, bin sehr zufrieden. Gerne wieder!",sehrgutesproduktbinsehrzufriedengernewieder,{2}
240,Je suis vraiment content de cet achat. Je recommande vivement.,jesuisvraimentcontentdecetachatjerecommandevivement,{2}
241,"EXCELLENT product, highly recommend! BEST EVER!!!",excellentproducthighlyrecommendwellever,{2}
242,Very pleased with this purchase. Quick delivery too!,verypleasedwiththispurchasequickdeliverytoo,{2}
243,Three stars — meets the minimum expectations.,threestarmeettheminimumexpectation,{2}
244,Exactly what I was looking for. Great price.,exactlywhatIbelookforgreatprice,{2}
245,Perfect gift idea. Delivery was speedy and packaging was great.,perfectgiftideadeliverybespeedyandpackagingbegreat,{2}
246,"Produit reçu rapidement, bien emballé et conforme. Parfait.",produitreçurapidementbienemballéetconformeparfait,{2}
247,"Superb quality, very sturdy and well-made. Five stars.",superbqualityverysturdyandwellmadefivestar,{2}
248,Exactly what I was looking for. Great price.,exactlywhatIbelookforgreatprice,{2}
249,Works fine. I've seen better but I've also seen worse.,workfineIveseewellbutIvealsoseebad,{1}
250,"Produit correct, sans plus. Fait le travail demandé.",produitcorrectsanplusfaitletravaildemandé,{1}
251,Normal. No me ha emocionado ni decepcionado.,normalnoIhaemocionadonidecepcionado,{1}
252,The worst product I have ever purchased. Total disappointment.,thebadproductIhaveeverpurchasetotaldisappointment,0
253,Exactly what I was looking for. Great price.,exactlywhatIbelookforgreatprice,{2}
254,Perfekte Verarbeitung. Sieht noch besser aus als auf dem Foto.,perfekteverarbeitungsiehtnochbesserausalsaufdemfoto,{2}
255,Excellent quality and fast shipping. Will definitely buy again.,excellentqualityandfastshippingwilldefinitelybuyagain,{2}
256,Really impressed with the build quality. Would buy again.,reallyimpresswiththebuildqualitywouldbuyagain,{2}
257,Very disappointed. Nothing like the photos on the listing.,verydisappointednothinglikethephotoonthelisting,0
258,"Erstklassige Qualität, sehr zufrieden. Gerne wieder.",erstklassigequalitätsehrzufriedengernewieder,{2}
259,Acceptable quality. Could be improved.,acceptablequalitycouldbeimprove,{1}
260,Tolle Qualität und super Preis-Leistungs-Verhältnis. Empfehle es.,tollequalitätundsuperpreisleistungsverhältnisempfehlees,{2}
261,Falsch beworben. Entspricht überhaupt nicht der Beschreibung.,falschbeworbenentsprichtüberhauptnichtderbeschreibung,0
262,Lieferung war schnell und das Produkt ist ausgezeichnet!,lieferungwarschnellunddasproduktistausgezeichnet,{2}
263,Okay for the price. Don't expect premium quality.,okayforthepricedonotexpectpremiumquality,{1}
264,Fantastic item! Exceeded all my expectations.,fantasticitemexceedallmyexpectation,{2}
265,"Très bon produit, FONCTIONNE parfaitement. MERCI! ⭐",trèsbonproduitfonctionneparfaitementmerci,{2}
266,Good value for money. Highly recommend it!,goodvalueformoneyhighlyrecommendit,{2}
267,Producto básico. Cumple su FUNCIÓN sin más.,productobásicocumplesufunciónsinmás,{1}
